Student Name,Age,Gender,Course,Attendance,Assignment Score,Midterm Score,Final Score
Ali,20,Male,Artificial Intelligence,90,85,78,88
Ahmed,21,Male,Data Science,82,72,68,74
Sara,19,Female,Cyber Security,95,92,90,
Fatima,22,Female,Software Engineering,88,84,81,86
Usman,20,Male,Artificial Intelligence,70,65,60,66
Ayesha,21,Female,Data Science,98,95,91,97
Hamza,23,Male,Cyber Security,76,71,69,73
Hina,20,Female,Software Engineering,64,58,55,
Bilal,22,Male,Artificial Intelligence,91,87,83,89
Maryam,19,Female,Data Science,85,,77,82
Zain,21,Male,Cyber Security,73,69,65,70
Laiba,20,Female,Software Engineering,96,94,92,95
Hassan,23,Male,Artificial Intelligence,68,60,58,62
Noor,22,Female,Data Science,79,74,70,
Talha,20,Male,Cyber Security,87,83,80,85
Areeba,19,Female,Software Engineering,92,90,88,91
Saad,21,Male,Artificial Intelligence,66,61,57,63
Iqra,20,Female,Data Science,81,,73,79
Imran,22,Male,Cyber Security,89,86,84,88
Maham,21,Female,Software Engineering,94,91,89,93
Danish,23,Male,Artificial Intelligence,58,50,47,49
Kiran,20,Female,Data Science,77,73,71,75
Kashif,22,Male,Cyber Security,83,79,76,81
Sana,19,Female,Software Engineering,97,96,94,98
Adnan,21,Male,Artificial Intelligence,72,67,64,69
Rabia,20,Female,Data Science,86,82,79,84
Shahid,23,Male,Cyber Security,74,70,,72
Anum,19,Female,Software Engineering,93,89,87,90
Yasir,22,Male,Artificial Intelligence,,62,59,61
Zoya,20,Female,Data Science,99,98,96,99
